,Year,Adjusted_Total,Runtime(Mins),Censor,Total_Gross,main_genre,side_genre,dir_numeric,Value,Rating
116,2014,142.4117002260604,123,4,337.14,6,3.8,211.64000000000001,236.73616666666666,6.6
117,1990,140.98603227246636,181,1,184.21,3,5.6,86.72333333333334,130.65833333333333,8.0
118,2007,140.829843065557,138,4,292.0,6,3.1,279.51800000000003,207.3424166666667,7.5
119,2009,140.74961428564768,153,4,301.96,6,3.1,279.51800000000003,214.537,7.6
120,2014,140.7389520119796,121,4,333.18,6,2.2,157.38000000000002,236.73616666666666,8.0
121,1985,139.8388596219399,96,0,150.42,6,8.54,99.72999999999999,107.56666666666665,6.5
122,2019,139.07673973862808,128,1,355.56,3,2.1,91.25399999999999,255.65741666666668,6.9
123,2004,138.4134827494926,115,1,261.44,0,3.6,239.20400000000004,188.88333333333335,8.0
124,2009,138.2605331481283,130,4,296.62,3,5.8,157.115,214.537,4.7
125,1987,137.86578657865786,119,16,156.65,5,8.5,63.60142857142858,113.625,6.9
126,2010,137.82271027330196,124,4,300.53,6,5.2,113.70333333333332,218.05550000000002,5.0
127,2016,137.64369133081402,152,4,330.36,6,3.8,146.73777777777778,240.01099999999997,6.4
128,1990,136.5469736590344,119,16,178.41,2,5.5,74.53916666666667,130.65833333333333,7.1
129,2017,136.3416155719912,133,1,334.2,6,3.8,382.40250000000003,245.11958333333334,7.4
130,1967,135.79815138646012,150,1,45.3,6,3.9,24.674999999999997,33.35833333333334,7.7
131,2010,135.73608553785618,146,4,295.98,3,7.1,279.51800000000003,218.05550000000002,7.7
132,2000,135.67363530778167,143,4,233.63,3,5.7,129.74625,172.19999999999996,7.8
133,2016,135.45212511093246,123,4,325.1,6,3.7,82.03166666666667,240.01099999999997,5.9
134,1987,135.24312431243123,100,16,153.67,6,10.3,67.63933333333333,113.625,6.5
135,1982,134.50777202072538,124,16,129.8,5,5.5,49.31285714285715,96.5,7.0
136,2002,134.22654621264766,95,1,241.44,2,5.7,241.44,179.875,6.6
137,2010,134.17684947180877,148,4,292.58,6,3.8,187.57454545454547,218.05550000000002,8.8
138,2018,133.43324653981935,143,4,335.06,6,3.7,127.54222222222221,251.10683333333338,6.8
139,1998,132.83983436429628,169,16,216.54,5,1.5,138.73962962962963,163.00833333333335,8.6
140,2012,132.56448795282395,143,4,304.36,6,8.54,124.15375,229.5939166666667,7.8
141,1988,132.2951166232119,104,1,156.45,0,2.2,129.74625,118.25833333333333,7.7
142,2004,132.01800052942733,142,1,249.36,3,7.1,101.495,188.88333333333335,7.9
143,2003,132.00271800679502,101,4,242.83,2,7.0,127.26000000000002,183.95833333333334,6.8
144,2019,131.21074458691302,122,16,335.45,10,8.52,137.317,255.65741666666668,8.4
145,1981,131.19604069287877,109,4,119.29,5,5.0,119.29,90.925,7.6
146,1982,129.58549222797927,99,1,125.05,5,2.5,93.80199999999999,96.5,6.8
147,2009,129.2644159282548,100,4,277.32,2,2.9,137.317,214.537,7.7
148,2018,129.26370648349535,119,18,324.59,6,2.2,183.41333333333333,251.10683333333338,7.7
149,1967,129.14314264301768,117,16,43.08,6,8.54,53.39666666666667,33.35833333333334,6.8
150,2017,128.53318193330807,130,4,315.06,6,2.2,80.2175,245.11958333333334,7.9
151,1968,128.02108289410637,105,0,44.53,2,2.9,44.53,34.78333333333334,7.6
152,2001,127.72590361445786,90,4,226.16,6,10.3,113.08800000000001,177.06666666666663,6.6
153,2012,127.31173553886987,115,4,292.3,3,5.8,102.07857142857142,229.5939166666667,5.5
154,1993,127.28929910585522,130,1,183.88,6,10.4,67.1,144.45833333333331,7.8
155,2002,126.7380125086866,106,4,227.97,5,9.5,126.71875,179.875,6.8
156,1986,126.3863757317722,120,4,138.53,5,1.5,50.368,109.60833333333335,8.1
157,1995,125.86678333151045,81,1,191.8,0,2.2,191.8,152.38333333333335,8.3
158,1980,125.33926585094552,109,0,103.29,2,2.9,103.29,82.40833333333332,6.9
159,2000,125.09291521486645,123,4,215.41,6,8.54,75.19000000000001,172.19999999999996,6.1
160,2011,125.05158802194669,117,16,281.29,3,5.8,102.07857142857142,224.93916666666667,4.9
161,2013,124.9371754811777,143,4,291.05,6,3.8,146.73777777777778,232.95708333333332,7.1
162,2006,124.43966764499193,108,5,250.86,3,2.1,104.32916666666667,201.5916666666667,6.4
163,1976,124.05915946697903,138,1,70.6,5,1.57,58.00333333333333,56.90833333333334,7.9
164,2019,123.92756061252541,123,4,316.83,6,2.2,153.25499999999997,255.65741666666668,6.7
165,1992,123.71303005107492,120,1,173.59,3,10.3,119.69,140.3166666666667,6.8
166,1999,123.69203061683925,95,4,206.04,6,2.2,121.71333333333334,166.57500000000002,6.6
167,1998,123.65625479269976,151,4,201.57,6,3.8,178.96230769230772,163.00833333333335,6.7
168,2007,123.65535432732244,101,16,256.39,6,5.4,211.64000000000001,207.3424166666667,7.2
169,1980,122.92446152290427,111,1,101.3,2,10.0,101.3,82.40833333333332,6.7
170,1981,122.3975804234259,94,0,111.29,2,2.9,34.44,90.925,6.2
171,1969,122.09904588823261,113,16,44.79,5,5.0,33.25,36.68333333333334,7.8
172,1968,121.60996645903208,114,16,42.3,6,10.8,29.409999999999997,34.78333333333334,7.4
173,1991,121.51991678394421,143,1,165.5,6,5.2,71.916,136.19166666666666,6.9
174,1995,120.76780050311713,121,4,184.03,6,3.0,54.09571428571428,152.38333333333335,5.4
175,2009,120.13312389005159,127,4,257.73,6,3.8,366.5666666666666,214.537,7.9
176,1973,119.97747747747746,151,18,53.27,1,10.4,44.656666666666666,44.400000000000006,8.0
177,2005,119.9641561766588,116,4,234.28,6,3.8,138.73962962962963,195.2916666666667,6.5
178,2009,119.3080913781772,129,4,255.96,1,5.3,106.9125,214.537,7.6
179,1985,118.87511620700344,91,1,127.87,5,2.5,93.80199999999999,107.56666666666665,6.8
180,2015,118.8606724412173,137,4,281.72,6,3.8,211.64000000000001,237.01700000000002,6.5
181,1989,118.78193062651252,114,16,147.25,6,10.8,73.61999999999999,123.96666666666665,7.2
182,2002,118.58790826963168,94,4,213.31,6,2.2,121.71333333333334,179.875,6.2
183,2013,117.65686455123172,91,4,274.09,5,8.51,101.495,232.95708333333332,7.7
184,2003,116.84711211778027,134,4,214.95,6,3.8,135.857,183.95833333333334,7.4
185,2006,116.25480550617996,104,16,234.36,6,3.8,113.08800000000001,201.5916666666667,6.6
186,1974,116.20753760351528,202,16,57.3,10,5.0,54.845454545454544,49.30833333333334,9.0
187,1992,116.04466088609098,126,4,162.83,6,7.5,105.07529411764706,140.3166666666667,7.1
188,1996,115.38412496015302,110,1,180.98,6,8.54,42.085384615384605,156.84999999999997,7.1
189,2013,115.25298830077789,104,1,268.49,0,2.2,165.025,232.95708333333332,7.2
190,1979,115.01205649328281,147,18,83.47,5,9.6,54.845454545454544,72.575,8.5
191,1972,114.16500597847747,108,4,47.74,3,5.6,91.18285714285712,41.81666666666667,7.5
192,2012,114.12758831081105,136,4,262.03,6,3.8,130.51749999999998,229.5939166666667,6.9
193,2001,114.09262048192774,130,16,202.02,6,3.7,128.184,177.06666666666663,6.4
194,1995,114.08071748878923,140,1,173.84,3,2.53,95.35095238095236,152.38333333333335,7.7
195,1969,113.75738300772373,95,16,41.73,3,5.0,44.175,36.68333333333334,7.3
196,1979,113.34481570788839,143,1,82.26,3,9.5,82.96333333333332,72.575,6.4
197,2011,113.12391868912705,102,16,254.46,2,2.9,137.317,224.93916666666667,6.4
198,1997,113.01630152632127,86,4,181.41,2,7.0,127.26000000000002,160.51666666666665,6.9
199,1989,113.0061844581877,93,1,140.09,2,2.9,56.05333333333334,123.96666666666665,5.9
200,2001,112.1272590361446,183,4,198.54,6,2.53,178.96230769230772,177.06666666666663,6.2
201,1968,111.83517010062289,138,1,38.9,5,5.5,38.9,34.78333333333334,7.6
202,2005,111.66887134627692,187,4,218.08,6,5.2,164.73624999999998,195.2916666666667,7.2
203,2007,109.70741233603509,115,4,227.47,6,9.7,123.30999999999999,207.3424166666667,8.0
204,1993,109.61638304009232,154,4,158.35,5,9.7,91.18285714285712,144.45833333333331,6.8
205,2010,109.31620619521176,95,1,238.37,0,2.2,121.356,218.05550000000002,6.3
206,1987,109.06050605060507,121,4,123.92,1,2.7,55.821538461538466,113.625,7.3
207,2000,109.00696864111501,155,4,187.71,6,5.2,77.35947368421053,172.19999999999996,8.5
208,1983,108.85542168674698,132,16,108.42,2,5.0,76.08,99.60000000000001,7.4
209,1988,108.36445634557114,117,4,128.15,2,5.5,48.604000000000006,118.25833333333333,7.1
210,1971,108.21979831240995,120,1,43.82,6,8.54,37.8125,40.49166666666667,6.5
211,1960,108.19949281487742,109,16,32.0,8,9.7,16.8,29.575000000000003,8.5
212,2006,107.91120664710014,149,19,217.54,9,8.5,95.35095238095236,201.5916666666667,6.6
213,1997,107.7520506697124,124,4,172.96,6,8.52,83.96444444444444,160.51666666666665,6.5
214,2011,107.16675249234054,137,4,241.06,6,3.7,132.20000000000002,224.93916666666667,6.6
215,2005,107.13206742052483,119,4,209.22,2,5.5,85.214,195.2916666666667,7.0
216,2000,106.16144018583044,127,4,182.81,2,7.3,104.26166666666666,172.19999999999996,6.4
217,2007,106.08538452294492,124,1,219.96,6,3.4,102.13899999999998,207.3424166666667,6.5
218,2000,106.05110336817656,130,4,182.62,6,5.2,83.96444444444444,172.19999999999996,6.4
219,2005,105.9184979731171,140,4,206.85,6,10.4,187.57454545454547,195.2916666666667,8.2
220,2008,105.87429314569034,92,4,227.95,6,5.8,71.42299999999999,215.3025,6.4
221,2002,105.86240444753301,88,4,190.42,6,2.2,130.02125,179.875,6.1
222,2005,105.71879667164494,115,1,206.46,3,2.1,105.07529411764706,195.2916666666667,6.7
223,1979,105.62866000688942,95,1,76.66,3,2.1,76.66,72.575,7.6
224,1989,105.44770099489111,93,1,130.72,3,2.1,99.68375,123.96666666666665,6.4
225,1986,105.01026381814033,113,1,115.1,6,0.52,80.614,109.60833333333335,6.1
226,1981,104.98762716524608,97,1,95.46,2,5.5,95.46,90.925,6.9
227,2007,104.81695134738871,92,1,217.33,3,2.7,162.71,207.3424166666667,5.2
228,2006,104.47356454879912,117,16,210.61,6,5.0,146.73777777777778,201.5916666666667,7.6
229,2008,103.9514171920902,98,1,223.81,0,3.1,148.445,215.3025,8.4
230,2014,103.67659637979551,165,4,245.44,6,3.8,178.96230769230772,236.73616666666666,5.6
231,2001,103.58810240963857,116,4,183.42,10,8.5,59.36888888888888,177.06666666666663,7.7
232,1990,103.52956183430067,93,1,135.27,6,2.2,78.27000000000001,130.65833333333333,6.7
233,1992,103.14526665874804,118,4,144.73,6,10.8,73.61999999999999,140.3166666666667,6.7
234,2013,102.4566399032726,130,4,238.68,6,10.8,166.35666666666668,232.95708333333332,7.0
235,2009,102.36462708064344,88,1,219.61,0,2.2,86.11833333333334,214.537,4.5
236,2001,102.31739457831326,92,4,181.17,6,3.8,99.68375,177.06666666666663,5.9
237,1972,102.27979274611398,124,16,42.77,5,0.5,40.295,41.81666666666667,7.8
238,2001,101.66227409638554,119,4,180.01,6,3.8,105.07529411764706,177.06666666666663,5.7
239,1979,101.53634171546675,94,0,73.69,2,2.9,41.894999999999996,72.575,7.1
240,1960,101.43702451394758,197,16,30.0,3,1.2,27.401428571428575,29.575000000000003,7.9
241,1992,100.72930276754957,138,1,141.34,5,8.5,61.743333333333325,140.3166666666667,7.7
242,1986,100.09275450467572,119,1,109.71,6,2.2,117.98666666666668,109.60833333333335,7.3
243,1992,99.49637724195271,100,1,139.61,2,0.5,70.61333333333334,140.3166666666667,6.5
244,2006,99.2501343474846,154,1,200.08,6,3.8,135.857,201.5916666666667,6.1
245,1998,99.06855477736312,90,1,161.49,2,2.5,82.15,163.00833333333335,6.1
246,2004,98.86526074296302,124,1,186.74,6,3.8,112.40500000000002,188.88333333333335,6.4
247,2014,98.81041975701501,132,4,233.92,6,3.8,135.857,236.73616666666666,7.9
248,1994,98.6878057007927,141,16,146.28,6,2.56,278.42571428571426,148.22500000000002,7.3
249,2013,98.2069301033631,132,4,228.78,6,3.8,366.5666666666666,232.95708333333332,7.7
250,1996,98.15109977685688,139,1,153.95,2,5.7,56.22375,156.84999999999997,7.3
251,1999,98.14197808794836,93,1,163.48,2,5.0,84.20769230769231,166.57500000000002,6.4
252,1994,97.70956316410862,97,1,144.83,2,5.1,96.655,148.22500000000002,6.5
253,2009,97.43307681192522,128,14,209.03,6,3.4,91.25399999999999,214.537,7.6
254,1988,97.21936438587838,104,1,114.97,2,5.8,76.1925,118.25833333333333,7.3
255,2004,97.08109062031235,100,1,183.37,0,2.2,129.74625,188.88333333333335,6.6
256,1970,97.05086928525436,78,1,37.68,0,2.2,89.76,38.824999999999996,7.1
257,2016,96.92889075917354,115,4,232.64,6,3.7,93.14999999999999,240.01099999999997,7.5
258,2006,96.89388615600842,91,1,195.33,0,2.2,138.725,201.5916666666667,6.8
259,1979,96.87909059593524,126,16,70.31,6,3.8,53.39666666666667,72.575,6.2
260,1961,96.6824644549763,158,1,28.9,6,5.2,15.85,29.89166666666667,7.5
261,2000,96.53890824622535,108,4,166.24,2,5.5,121.71333333333334,172.19999999999996,7.0
262,2001,96.42695783132532,135,4,170.74,1,5.0,95.35095238095236,177.06666666666663,8.2
263,2015,96.37705312277177,144,4,228.43,3,5.4,77.35947368421053,237.01700000000002,8.0
264,1991,95.99706296273635,118,16,130.74,10,8.52,71.705,136.19166666666666,8.6
265,1989,95.5902124226943,108,1,118.5,3,2.8,129.74625,123.96666666666665,7.8
266,2005,95.4162577341583,120,14,186.34,6,10.3,58.569,195.2916666666667,6.5
267,2012,95.30740325219126,106,16,218.82,2,2.9,114.48,229.5939166666667,6.9
268,1983,95.28112449799197,95,4,94.9,5,0.52,63.60142857142858,99.60000000000001,6.2
269,2002,94.89367616400278,113,16,170.69,2,10.1,132.20000000000002,179.875,7.2
270,1988,94.65717708406737,107,1,111.94,2,10.0,81.21249999999999,118.25833333333333,6.1
271,2003,94.26047565118913,97,1,173.4,3,2.1,234.0025,183.95833333333334,7.0
272,1981,93.81358262304097,106,16,85.3,2,1.5,81.21249999999999,90.925,6.8
273,2017,93.43194733182953,120,4,229.02,6,3.7,146.73777777777778,245.11958333333334,6.1
274,1990,93.38095541807515,135,1,122.01,6,8.54,72.94714285714285,130.65833333333333,7.5
275,2004,93.30627371393275,108,16,176.24,6,9.7,123.30999999999999,188.88333333333335,7.7
276,2011,93.287444383111,130,4,209.84,6,10.8,166.35666666666668,224.93916666666667,7.3
277,2001,93.23606927710846,131,18,165.09,10,8.52,77.35947368421053,177.06666666666663,6.8
278,1999,93.20126069338134,124,16,155.25,6,3.7,128.184,166.57500000000002,7.1
279,2011,93.09183594082845,132,4,209.4,6,8.5,239.20400000000004,224.93916666666667,7.4
280,1975,92.90802105915144,125,1,50.0,1,10.4,23.686666666666667,53.81666666666667,8.0
281,1997,92.50129789222304,139,16,148.48,2,5.7,76.08,160.51666666666665,7.7
282,1988,92.43323233035024,108,1,109.31,6,2.2,109.31,118.25833333333333,5.7
283,2017,92.31412558836078,137,16,226.28,6,5.4,89.905,245.11958333333334,8.1
284,2017,92.20397527057371,136,4,226.01,6,10.8,88.98444444444445,245.11958333333334,6.6
285,2005,91.91380413910815,118,1,179.5,2,5.5,82.61,195.2916666666667,6.6
286,2004,91.59622341833582,131,1,173.01,6,3.4,102.13899999999998,188.88333333333335,6.9
287,1985,91.54322900526807,154,1,98.47,5,5.0,138.73962962962963,107.56666666666665,7.7
288,2002,91.51911049339819,141,16,164.62,1,10.4,138.73962962962963,179.875,8.1
289,1999,91.4062734503977,116,8,152.26,2,5.5,74.53916666666667,166.57500000000002,5.6
290,1990,91.37572549269723,113,16,119.39,6,3.8,63.32285714285714,130.65833333333333,7.5
291,2000,91.34727061556333,104,4,157.3,6,3.8,135.857,172.19999999999996,7.3
292,2000,91.18466898954706,88,11,157.02,2,2.9,89.4525,172.19999999999996,6.2
293,1991,91.07018295294623,113,0,124.03,2,4.0,48.93749999999999,136.19166666666666,6.8
294,1983,90.76305220883533,116,1,90.4,2,2.9,48.604000000000006,99.60000000000001,7.5
295,1989,90.74213498252219,108,1,112.49,6,2.5,81.21249999999999,123.96666666666665,6.6
296,2000,90.27874564459934,130,16,155.46,5,8.5,129.74625,172.19999999999996,6.6
297,1990,89.95981886599911,124,16,117.54,6,8.5,43.313,130.65833333333333,7.1
298,2002,89.47324530924253,133,16,160.94,6,8.54,44.49142857142857,179.875,6.1
299,2008,88.9306905400541,122,4,191.47,5,7.3,61.185,215.3025,5.3
300,2013,88.58283982922464,112,4,206.36,6,3.7,148.06,232.95708333333332,6.8
301,1998,88.43719646234854,85,9,144.16,2,7.1,86.11833333333334,163.00833333333335,5.4
302,2007,88.32732006515789,87,1,183.14,0,2.2,183.14,207.3424166666667,7.3
303,2014,88.09384849660347,130,4,208.55,6,5.2,111.9025,236.73616666666666,7.6
304,1994,88.04857480182153,91,1,130.51,2,7.1,72.71666666666667,148.22500000000002,4.9
305,1991,87.85412714923821,142,1,119.65,3,2.1,138.73962962962963,136.19166666666666,6.8
306,1972,87.83579115185331,123,16,36.73,6,10.8,24.395,41.81666666666667,7.3
